sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
G1-AWI11-S100	31964	23950	74.93	23706	23185	72.53	23151	72.43
G10-ROS4-S113	52781	39009	73.91	37804	35949	68.11	35366	67.01
G11-DAL30-S125	23045	16654	72.27	15926	14671	63.66	14582	63.28
G12-NOC23-S137	65609	47752	72.78	46694	44067	67.17	42951	65.47
G13-NOAA23-S149	85134	61830	72.63	60486	57280	67.28	55894	65.65
G14-ROS20-S161	25217	18312	72.62	17674	16775	66.52	16572	65.72
G15-AWI3-S173	62879	46974	74.71	46692	45689	72.66	45550	72.44
G16-NOC11-S185	51138	38203	74.71	37495	36084	70.56	35675	69.76
G17-DAL12-S102	10933	7997	73.15	7488	6894	63.06	6860	62.75
G18-NOAA6-S114	36177	26859	74.24	26128	24817	68.6	24509	67.75
G19-AWI7-S126	23322	17152	73.54	16966	16592	71.14	16565	71.03
G2-NOAA29-S112	61694	46210	74.9	45123	43291	70.17	42670	69.16
G20-ROS12-S138	15068	10805	71.71	10306	9467	62.83	9315	61.82
G21-NOC33-S150	56675	41192	72.68	40484	39096	68.98	38531	67.99
G22-DAL24-S162	39564	28966	73.21	27959	26553	67.11	26368	66.65
G23-NOAA12-S174	41676	30692	73.64	29858	28588	68.6	28274	67.84
G24-AWI15-S186	13337	9894	74.18	9756	9519	71.37	9484	71.11
G25-ROS8-S103	17495	12754	72.9	12130	11400	65.16	11285	64.5
G26-NOAA5-S115	70237	52483	74.72	51244	48355	68.85	47332	67.39
G27-eMock2-2-S127	662	159	24.02	104	80	12.08	80	12.08
G28-eMock2-7-S139	678	141	20.8	73	48	7.08	48	7.08
G29-eMockA-11-S151	888	201	22.64	118	103	11.6	103	11.6
G3-DAL6-S124	35261	25800	73.17	24768	23189	65.76	23057	65.39
G30-eMockB-18-S163	746	144	19.3	70	45	6.03	45	6.03
G31-eMockB-20-S175	902	196	21.73	135	86	9.53	86	9.53
G32-bMock2-S187	708	177	25	97	70	9.89	70	9.89
G33-bMock9-S104	660	178	26.97	113	93	14.09	93	14.09
G34-bMock20-S116	671	157	23.4	79	49	7.3	49	7.3
G35-bMock22-S128	594	150	25.25	94	66	11.11	66	11.11
G36-bMock27-S140	500	126	25.2	67	57	11.4	57	11.4
G4-ROS16-S136	29395	21579	73.41	20806	19693	66.99	19432	66.11
G5-NOC4-S148	113069	83482	73.83	82216	79301	70.14	77711	68.73
G6-DAL18-S160	29686	21953	73.95	21021	19528	65.78	19409	65.38
G7-NOC20-S172	63548	48289	75.99	47508	46045	72.46	45447	71.52
G8-AWI19-S184	27620	20475	74.13	20294	19681	71.26	19632	71.08
G9-NOAA17-S101	28687	21011	73.24	20325	19354	67.47	19104	66.59
