sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
G1-AWI11	28987	25022	24853	24231	22160
G10-ROS4	7989	6887	6568	6079	6064
G11-DAL30	9957	8556	8288	7973	7955
G12-NOC23	8656	7306	7067	6751	6749
G13-NOAA23	5209	4476	4191	3921	3888
G14-ROS20	5675	4754	4460	4084	4065
G15-AWI3	28316	24488	24285	23967	22574
G16-NOC11	9023	7639	7429	7059	7058
G17-DAL12	6357	5292	5112	4839	4811
G18-NOAA6	2791	2372	2133	1929	1924
G19-AWI7	19768	17027	16874	16496	15695
G2-NOAA29	3926	3323	3053	2754	2735
G20-ROS12	6817	5609	5296	4875	4861
G21-NOC33	7053	6045	5844	5619	5589
G22-DAL24	10982	9137	8913	8568	8563
G23-NOAA12	4587	3834	3645	3424	3409
G24-AWI15	11093	9556	9399	9252	8603
G25-ROS8	4198	3399	3151	2851	2840
G26-NOAA5	2815	2222	2019	1828	1805
G27-eMock2-2	128697	109904	109043	98593	33522
G28-eMock2-7	140499	118092	117267	105146	34532
G29-eMockA-11	129642	111464	110664	99116	33823
G3-DAL6	6966	5969	5806	5565	5550
G30-eMockB-18	150349	127464	126640	114828	40993
G31-eMockB-20	142265	121405	120471	108950	37734
G32-bMock2	193574	164285	163965	159392	115570
G33-bMock9	213547	180788	180310	174418	121063
G34-bMock20	353182	301210	300346	291980	199260
G35-bMock22	210613	180045	179460	173327	121037
G36-bMock27	212141	178013	177593	171444	120816
G4-ROS16	4142	3448	3147	2904	2878
G5-NOC4	7607	6615	6410	6110	6108
G6-DAL18	21411	18096	17765	17294	17255
G7-NOC20	10917	9442	9228	8865	8857
G8-AWI19	14567	12609	12506	12187	11232
G9-NOAA17	3698	3107	2946	2724	2705
