sample-id,reads-raw,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference
G1-AWI11,28955,975,19688,166,12345,0,0,4,4,162,12341,0,0
G10-ROS4,7968,455,5141,369,4550,0,0,1,1,367,4545,1,4
G11-DAL30,9942,398,6504,246,5619,0,0,2,3,244,5616,0,0
G12-NOC23,8634,370,5430,257,4561,0,0,0,0,257,4561,0,0
G13-NOAA23,5195,301,3266,233,2867,0,0,0,0,232,2851,1,16
G14-ROS20,5644,368,3388,320,3051,0,0,0,0,320,3051,0,0
G15-AWI3,28281,827,19738,190,13129,0,0,1,1,189,13128,0,0
G16-NOC11,8997,379,5693,269,4856,0,0,0,0,269,4856,0,0
G17-DAL12,6348,281,3997,201,3493,0,0,0,0,201,3493,0,0
G18-NOAA6,2781,198,1642,166,1512,0,0,0,0,166,1512,0,0
G19-AWI7,19735,605,13132,157,8918,0,0,0,0,157,8918,0,0
G2-NOAA29,3917,252,2268,216,2024,0,0,0,0,216,2024,0,0
G20-ROS12,6795,404,4054,337,3585,0,0,0,0,336,3575,1,10
G21-NOC33,7042,322,4613,211,4050,0,0,0,0,210,4042,1,8
G22-DAL24,10953,426,7007,262,6045,0,0,0,0,262,6045,0,0
G23-NOAA12,4580,219,2803,153,2510,0,0,0,0,153,2510,0,0
G24-AWI15,11075,343,7163,121,4732,0,0,0,0,121,4732,0,0
G25-ROS8,4174,310,2411,263,2144,0,0,0,0,263,2144,0,0
G26-NOAA5,2796,180,1450,159,1309,0,0,0,0,158,1307,1,2
G27-eMock2-2,128557,6889,55604,784,20326,0,0,534,3693,250,16633,0,0
G28-eMock2-7,140312,7412,58243,903,21305,0,0,610,4085,293,17220,0,0
G29-eMockA-11,129481,6971,55066,834,20171,0,0,563,3632,271,16539,0,0
G3-DAL6,6947,287,4415,207,3826,0,0,0,0,207,3826,0,0
G30-eMockB-18,150146,7985,66785,878,24536,0,0,599,4244,279,20292,0,0
G31-eMockB-20,142098,7603,62023,874,22862,0,0,596,4116,278,18746,0,0
G32-bMock2,193379,6860,110119,329,46790,0,0,250,2306,79,44484,0,0
G33-bMock9,213320,7842,120737,466,51207,0,0,340,2944,126,48263,0,0
G34-bMock20,352724,12911,209902,590,86687,0,0,439,5014,151,81673,0,0
G35-bMock22,210363,7842,120409,442,50986,0,0,332,2896,110,48090,0,0
G36-bMock27,211884,7756,119556,429,50603,0,0,314,2801,115,47802,0,0
G4-ROS16,4122,296,2405,252,2181,0,0,0,0,252,2181,0,0
G5-NOC4,7585,333,4971,246,4314,0,0,0,0,246,4314,0,0
G6-DAL18,21367,746,14205,351,11870,0,0,1,1,350,11869,0,0
G7-NOC20,10895,447,7398,300,6285,0,0,0,0,299,6282,1,3
G8-AWI19,14547,478,9593,140,5942,0,0,0,0,140,5942,0,0
G9-NOAA17,3684,189,2283,123,2048,0,0,0,0,123,2048,0,0
