sampleid	AZMP_code	station	depth	year	season	size_fraction
2014F-GULD04-100mL	179b	GULD_04	100	2014	F	3
2014F-GULD04-100mS	179e+d	GULD_04	100	2014	F	0.2
2014F-GULD04-1mL	177a	GULD_04	1	2014	F	3
2014F-GULD04-1mS	177d+f	GULD_04	1	2014	F	0.2
2014F-GULD04-20mL	178a	GULD_04	20	2014	F	3
2014F-GULD04-20mS	178d+e	GULD_04	20	2014	F	0.2
2014F-GULD04-250mL	180a	GULD_04	250	2014	F	3
2014F-GULD04-250mS	180e+f	GULD_04	250	2014	F	0.2
2014S-GULD04-100mL	15a	GULD_04	100	2014	S	3
2014S-GULD04-100mS	15d+f	GULD_04	100	2014	S	0.2
2014S-GULD04-1mL	13a	GULD_04	1	2014	S	3
2014S-GULD04-1mS	13d+e	GULD_04	1	2014	S	0.2
2014S-GULD04-20mL	14a	GULD_04	20	2014	S	3
2014S-GULD04-20mS	14d+f	GULD_04	20	2014	S	0.2
2014S-GULD04-250mL	16a	GULD_04	250	2014	S	3
2014S-GULD04-250mS	16e+f	GULD_04	250	2014	S	0.2
2016F-GULD4-100m-L	244b	GULD_04	100	2016	F	3
2016F-GULD4-100m-S	244d	GULD_04	100	2016	F	0.2
2016F-GULD4-1m-L	242b	GULD_04	1	2016	F	3
2016F-GULD4-1m-S	242d	GULD_04	1	2016	F	0.2
2016F-GULD4-20m-L	243b	GULD_04	20	2016	F	3
2016F-GULD4-20m-S	243d	GULD_04	20	2016	F	0.2
2016F-GULD4-250m-L	245b	GULD_04	250	2016	F	3
2016F-GULD4-250m-S	245d	GULD_04	250	2016	F	0.2
2016S-GULD3-1m-L	R-4-a	GULD_03	1	2016	S	3
2016S-GULD3-1m-S	R-4-c	GULD_03	1	2016	S	0.2
2016S-GULD3-20m-L	R-3-a	GULD_03	20	2016	S	3
2016S-GULD3-20m-S	R-3-c	GULD_03	20	2016	S	0.2
2016S-GULD3-40m-L	R-2-a	GULD_03	40	2016	S	3
2016S-GULD3-40m-S	R-2-c	GULD_03	40	2016	S	0.2
2016S-GULD3-80m-L	R-1-a	GULD_03	80	2016	S	3
2016S-GULD3-80m-S	R-1-c	GULD_03	80	2016	S	0.2
2017F-GULD04-1mL	521c	GULD_04	1	2017	F	3
2017F-GULD04-1mS	521a	GULD_04	1	2017	F	0.2
2017F-GULD04-20mL	522c	GULD_04	20	2017	F	3
2017F-GULD04-20mS	522a	GULD_04	20	2017	F	0.2
2017F-GULD04-250mL	524c	GULD_04	250	2017	F	3
2017F-GULD04-250mS	524a	GULD_04	250	2017	F	0.2
2017F-GULD04-60mL	523c	GULD_04	60	2017	F	3
2017F-GULD04-60mS	523a	GULD_04	60	2017	F	0.2
2017S-GULD04-1mL	425c	GULD_04	1	2017	S	3
2017S-GULD04-1mS	425a	GULD_04	1	2017	S	0.2
2017S-GULD04-20mL	426c	GULD_04	20	2017	S	3
2017S-GULD04-20mS	426a	GULD_04	20	2017	S	0.2
2017S-GULD04-250mL	428c	GULD_04	250	2017	S	3
2017S-GULD04-250mS	428a	GULD_04	250	2017	S	0.2
2017S-GULD04-60mL	427c	GULD_04	60	2017	S	3
2017S-GULD04-60mS	427a	GULD_04	60	2017	S	0.2
2018F-SG23-1mL	695 La	SG_23	1	2018	F	3
2018F-SG23-1mS	695 Sa	SG_23	1	2018	F	0.2
2018F-SG23-20mL	696 La	SG_23	20	2018	F	3
2018F-SG23-20mS	696 Sa	SG_23	20	2018	F	0.2
2018F-SG23-250mL	698 La	SG_23	250	2018	F	3
2018F-SG23-250mS	698 Sa	SG_23	250	2018	F	0.2
2018F-SG23-60mL	697 La	SG_23	60	2018	F	3
2018F-SG23-60mS	697 Sa	SG_23	60	2018	F	0.2
2018S-GULD04-1mS	589 Sa	GULD_04	1	2018	S	0.2
2018S-GULD04-20mL	590 La	GULD_04	20	2018	S	3
2018S-GULD04-20mS	590 Sa	GULD_04	20	2018	S	0.2
2018S-GULD04-250mL	592 La	GULD_04	250	2018	S	3
2018S-GULD04-250mS	592 Sa	GULD_04	250	2018	S	0.2
2018S-GULD04-60mL	591 La	GULD_04	60	2018	S	3
2018S-GULD04-60mS	591 Sa	GULD_04	60	2018	S	0.2
2019S-GULD04-1mS	827 Sa	GULD_04	1	2019	S	0.2
2019S-GULD04-20mL	828 La	GULD_04	20	2019	S	3
2019S-GULD04-20mS	828 Sa	GULD_04	20	2019	S	0.2
2019S-GULD04-250mL	830 La	GULD_04	250	2019	S	3
2019S-GULD04-250mS	830 Sa	GULD_04	250	2019	S	0.2
2019S-GULD04-60mL	829 La	GULD_04	60	2019	S	3
2019S-GULD04-60mS	829 Sa	GULD_04	60	2019	S	0.2
